Provincias;Edad (grupos quinquenales);Sexo;Españoles/Extranjeros;Año;Total
08  Barcelona;30-34 años;Hombres;TOTAL;2020;180.116
08  Barcelona;30-34 años;Mujeres;TOTAL;2020;180.760
08  Barcelona;35-39 años;Hombres;TOTAL;2020;209.637
08  Barcelona;35-39 años;Mujeres;TOTAL;2020;208.718
08  Barcelona;40-44 años;Hombres;TOTAL;2020;252.372
08  Barcelona;40-44 años;Mujeres;TOTAL;2020;244.991
08  Barcelona;45-49 años;Hombres;TOTAL;2020;242.806
08  Barcelona;45-49 años;Mujeres;TOTAL;2020;235.617
08  Barcelona;50-54 años;Hombres;TOTAL;2020;212.262
08  Barcelona;50-54 años;Mujeres;TOTAL;2020;212.843
08  Barcelona;55-59 años;Hombres;TOTAL;2020;182.408
08  Barcelona;55-59 años;Mujeres;TOTAL;2020;193.053
08  Barcelona;60-64 años;Hombres;TOTAL;2020;156.019
08  Barcelona;60-64 años;Mujeres;TOTAL;2020;174.090
08  Barcelona;65-69 años;Hombres;TOTAL;2020;130.377
08  Barcelona;65-69 años;Mujeres;TOTAL;2020;152.045
08  Barcelona;70-74 años;Hombres;TOTAL;2020;119.499
08  Barcelona;70-74 años;Mujeres;TOTAL;2020;145.706
08  Barcelona;75-79 años;Hombres;TOTAL;2020;90.670
08  Barcelona;75-79 años;Mujeres;TOTAL;2020;117.043
08  Barcelona;80-84 años;Hombres;TOTAL;2020;59.475
08  Barcelona;80-84 años;Mujeres;TOTAL;2020;88.464
08  Barcelona;85-89 años;Hombres;TOTAL;2020;41.331
08  Barcelona;85-89 años;Mujeres;TOTAL;2020;75.416
08  Barcelona;90-94 años;Hombres;TOTAL;2020;15.176
08  Barcelona;90-94 años;Mujeres;TOTAL;2020;36.733
08  Barcelona;95-99 años;Hombres;TOTAL;2020;3.039
08  Barcelona;95-99 años;Mujeres;TOTAL;2020;10.530
08  Barcelona;100 años y más;Hombres;TOTAL;2020;302
08  Barcelona;100 años y más;Mujeres;TOTAL;2020;1.533
48  Bizkaia;0-4 años;Hombres;TOTAL;2020;22.337
48  Bizkaia;0-4 años;Mujeres;TOTAL;2020;20.851
48  Bizkaia;5-9 años;Hombres;TOTAL;2020;26.669
48  Bizkaia;5-9 años;Mujeres;TOTAL;2020;25.619
48  Bizkaia;10-14 años;Hombres;TOTAL;2020;27.924
48  Bizkaia;10-14 años;Mujeres;TOTAL;2020;26.197
48  Bizkaia;15-19 años;Hombres;TOTAL;2020;27.613
48  Bizkaia;15-19 años;Mujeres;TOTAL;2020;25.234
48  Bizkaia;20-24 años;Hombres;TOTAL;2020;25.644
48  Bizkaia;20-24 años;Mujeres;TOTAL;2020;24.602
48  Bizkaia;25-29 años;Hombres;TOTAL;2020;26.824
48  Bizkaia;25-29 años;Mujeres;TOTAL;2020;26.221
48  Bizkaia;30-34 años;Hombres;TOTAL;2020;30.320
48  Bizkaia;30-34 años;Mujeres;TOTAL;2020;30.385
48  Bizkaia;35-39 años;Hombres;TOTAL;2020;38.151
48  Bizkaia;35-39 años;Mujeres;TOTAL;2020;37.455
48  Bizkaia;40-44 años;Hombres;TOTAL;2020;47.434
48  Bizkaia;40-44 años;Mujeres;TOTAL;2020;46.907
48  Bizkaia;45-49 años;Hombres;TOTAL;2020;47.539
48  Bizkaia;45-49 años;Mujeres;TOTAL;2020;46.965
48  Bizkaia;50-54 años;Hombres;TOTAL;2020;45.313
48  Bizkaia;50-54 años;Mujeres;TOTAL;2020;46.145
48  Bizkaia;55-59 años;Hombres;TOTAL;2020;43.399
48  Bizkaia;55-59 años;Mujeres;TOTAL;2020;46.089
48  Bizkaia;60-64 años;Hombres;TOTAL;2020;39.185
48  Bizkaia;60-64 años;Mujeres;TOTAL;2020;42.683
48  Bizkaia;65-69 años;Hombres;TOTAL;2020;31.854
48  Bizkaia;65-69 años;Mujeres;TOTAL;2020;36.002
48  Bizkaia;70-74 años;Hombres;TOTAL;2020;28.381
48  Bizkaia;70-74 años;Mujeres;TOTAL;2020;34.200
48  Bizkaia;75-79 años;Hombres;TOTAL;2020;21.183
48  Bizkaia;75-79 años;Mujeres;TOTAL;2020;27.868
48  Bizkaia;80-84 años;Hombres;TOTAL;2020;14.512
48  Bizkaia;80-84 años;Mujeres;TOTAL;2020;22.904
48  Bizkaia;85-89 años;Hombres;TOTAL;2020;10.923
48  Bizkaia;85-89 años;Mujeres;TOTAL;2020;20.416
48  Bizkaia;90-94 años;Hombres;TOTAL;2020;3.894
48  Bizkaia;90-94 años;Mujeres;TOTAL;2020;9.885
48  Bizkaia;95-99 años;Hombres;TOTAL;2020;652
48  Bizkaia;95-99 años;Mujeres;TOTAL;2020;2.703
48  Bizkaia;100 años y más;Hombres;TOTAL;2020;47
48  Bizkaia;100 años y más;Mujeres;TOTAL;2020;314
09  Burgos;0-4 años;Hombres;TOTAL;2020;6.675
